date,signal_date,next_date,return,num_stocks,turnover,selected_codes,buy_weight,sell_weight,traded_weight,avg_participation,max_participation,missing_adv_weight,impact_cost_base,cost_traded_weight,period_fixed_cost,period_impact_cost,period_cost,net_return,gross_nav,net_nav,drawdown,scenario,cost_model,capital,fixed_cost_bps,impact_coef_bps,include_initial_build
2020-02-17,2020-02-14,2020-02-24,0.0944668073820696,100,0.0,"['688029.SH', '300783.SZ', '002194.SZ', '300037.SZ', '300070.SZ', '300788.SZ', '002913.SZ', '002815.SZ', '603983.SH', '300747.SZ', '000025.SZ', '603103.SH', '300777.SZ', '002115.SZ', '002138.SZ', '600968.SH', '300166.SZ', '300766.SZ', '002281.SZ', '002792.SZ', '300394.SZ', '600150.SH', '300620.SZ', '603786.SH', '300775.SZ', '603180.SH', '002023.SZ', '002643.SZ', '300476.SZ', '000807.SZ', '688020.SH', '300590.SZ', '600233.SH', '002461.SZ', '300616.SZ', '603711.SH', '603596.SH', '002937.SZ', '300699.SZ', '603826.SH', '000516.SZ', '603833.SH', '300073.SZ', '002064.SZ', '603881.SH', '603992.SH', '002369.SZ', '603256.SH', '603421.SH', '002773.SZ', '000931.SZ', '300674.SZ', '603317.SH', '603938.SH', '603486.SH', '002859.SZ', '300782.SZ', '002851.SZ', '000958.SZ', '000710.SZ', '300691.SZ', '002405.SZ', '002579.SZ', '002639.SZ', '300188.SZ', '002049.SZ', '603228.SH', '002796.SZ', '002618.SZ', '601869.SH', '002549.SZ', '300568.SZ', '002474.SZ', '300634.SZ', '300627.SZ', '002056.SZ', '300725.SZ', '002923.SZ', '300429.SZ', '002916.SZ', '002421.SZ', '300182.SZ', '002273.SZ', '300319.SZ', '603712.SH', '300753.SZ', '002008.SZ', '300630.SZ', '002831.SZ', '002185.SZ', '002468.SZ', '300676.SZ', '002243.SZ', '002063.SZ', '002891.SZ', '300298.SZ', '600141.SH', '603185.SH', '300567.SZ', '002572.SZ']",1.0000000000000007,0.0,1.0000000000000007,0.0006677396850332401,0.0027934135219930337,0.0,0.023962729998148195,1.0000000000000007,0.0010000000000000007,5.9906824995370486e-05,0.001059906824995371,0.09330677454319436,1.0944668073820696,1.0933067745431944,0.0,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-02-24,2020-02-21,2020-03-02,-0.0370985400773383,100,0.64,"['002313.SZ', '300673.SZ', '002281.SZ', '002792.SZ', '000516.SZ', '000901.SZ', '300520.SZ', '002474.SZ', '600733.SH', '300188.SZ', '603713.SH', '300070.SZ', '300766.SZ', '000025.SZ', '300616.SZ', '002240.SZ', '603185.SH', '300257.SZ', '600718.SH', '603256.SH', '603179.SH', '300568.SZ', '300170.SZ', '603826.SH', '688029.SH', '603863.SH', '300037.SZ', '600456.SH', '300567.SZ', '002151.SZ', '601500.SH', '603687.SH', '300747.SZ', '300633.SZ', '603881.SH', '300395.SZ', '000958.SZ', '300788.SZ', '300365.SZ', '002913.SZ', '002063.SZ', '002929.SZ', '002891.SZ', '300777.SZ', '603033.SH', '002368.SZ', '603676.SH', '300719.SZ', '300227.SZ', '603636.SH', '002064.SZ', '601118.SH', '603180.SH', '300514.SZ', '603056.SH', '300560.SZ', '300775.SZ', '002614.SZ', '002389.SZ', '688003.SH', '002439.SZ', '601330.SH', '603317.SH', '002842.SZ', '603429.SH', '300596.SZ', '000777.SZ', '603866.SH', '603386.SH', '600876.SH', '603992.SH', '600884.SH', '603588.SH', '002410.SZ', '300770.SZ', '600372.SH', '600968.SH', '002618.SZ', '002643.SZ', '300053.SZ', '002138.SZ', '300073.SZ', '603486.SH', '300602.SZ', '300047.SZ', '000948.SZ', '300609.SZ', '603680.SH', '300751.SZ', '300261.SZ', '002765.SZ', '600549.SH', '000768.SZ', '300249.SZ', '603595.SH', '603876.SH', '300618.SZ', '300166.SZ', '300525.SZ', '600478.SH']",0.6400000000000003,0.6400000000000003,1.2800000000000007,0.0008956482620388232,0.009314282087038148,0.0,0.03377818312319833,1.2800000000000007,0.0012800000000000008,8.444545780799583e-05,0.0013644454578079965,-0.0384123666006464,1.0538636866650894,1.051310273912471,-0.0384123666006464,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-03-02,2020-02-28,2020-03-09,0.0223127604923665,100,0.79,"['002313.SZ', '002840.SZ', '002726.SZ', '002082.SZ', '600733.SH', '002564.SZ', '002788.SZ', '601611.SH', '000925.SZ', '002307.SZ', '000701.SZ', '601500.SH', '603612.SH', '600853.SH', '000905.SZ', '603185.SH', '603003.SH', '603876.SH', '000411.SZ', '600077.SH', '600711.SH', '603680.SH', '002567.SZ', '000516.SZ', '002485.SZ', '002828.SZ', '600713.SH', '300692.SZ', '603033.SH', '600743.SH', '002877.SZ', '600133.SH', '300437.SZ', '603970.SH', '000950.SZ', '603056.SH', '600480.SH', '002302.SZ', '002632.SZ', '600686.SH', '000703.SZ', '000599.SZ', '600973.SH', '000852.SZ', '002889.SZ', '000065.SZ', '002061.SZ', '600291.SH', '000757.SZ', '603225.SH', '300608.SZ', '603315.SH', '000948.SZ', '603105.SH', '300705.SZ', '000498.SZ', '300070.SZ', '300094.SZ', '600339.SH', '603618.SH', '603313.SH', '600310.SH', '300616.SZ', '002765.SZ', '600153.SH', '000906.SZ', '300103.SZ', '002616.SZ', '300673.SZ', '300596.SZ', '300587.SZ', '600753.SH', '600502.SH', '600459.SH', '603486.SH', '603819.SH', '600893.SH', '603507.SH', '300560.SZ', '600335.SH', '002891.SZ', '600939.SH', '603179.SH', '300268.SZ', '600981.SH', '601669.SH', '300257.SZ', '300568.SZ', '300226.SZ', '603577.SH', '300424.SZ', '300716.SZ', '002752.SZ', '300740.SZ', '002165.SZ', '600490.SH', '603877.SH', '002742.SZ', '300674.SZ', '002024.SZ']",0.7900000000000005,0.7900000000000005,1.580000000000001,0.0013599264450946484,0.007158888194596049,0.0,0.05177912768613803,1.580000000000001,0.0015800000000000009,0.00012944781921534507,0.001709447819215346,0.020565170173386882,1.0773782946972499,1.0729306486005108,-0.018637153283164398,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-03-09,2020-03-06,2020-03-16,-0.0552259980357801,100,0.81,"['603929.SH', '002768.SZ', '002300.SZ', '300651.SZ', '002735.SZ', '603755.SH', '300509.SZ', '300500.SZ', '002726.SZ', '002843.SZ', '300067.SZ', '600345.SH', '300716.SZ', '300683.SZ', '300673.SZ', '603969.SH', '603010.SH', '603663.SH', '600753.SH', '603618.SH', '300594.SZ', '000948.SZ', '300201.SZ', '300712.SZ', '002457.SZ', '603066.SH', '002840.SZ', '000852.SZ', '002949.SZ', '000779.SZ', '002827.SZ', '002853.SZ', '002331.SZ', '300662.SZ', '300778.SZ', '300414.SZ', '002165.SZ', '300765.SZ', '603801.SH', '002313.SZ', '300640.SZ', '603003.SH', '600278.SH', '000912.SZ', '002265.SZ', '300766.SZ', '000420.SZ', '300536.SZ', '002852.SZ', '002562.SZ', '002338.SZ', '300407.SZ', '603918.SH', '603289.SH', '300762.SZ', '002532.SZ', '603063.SH', '002564.SZ', '600379.SH', '600834.SH', '603333.SH', '603726.SH', '603359.SH', '600501.SH', '603527.SH', '000720.SZ', '603577.SH', '000025.SZ', '300715.SZ', '600202.SH', '600480.SH', '300446.SZ', '000796.SZ', '002691.SZ', '000701.SZ', '002882.SZ', '603985.SH', '600658.SH', '603033.SH', '300560.SZ', '300388.SZ', '000893.SZ', '300506.SZ', '300065.SZ', '603183.SH', '603159.SH', '603007.SH', '603828.SH', '000856.SZ', '603398.SH', '600545.SH', '000736.SZ', '002782.SZ', '603319.SH', '603819.SH', '002805.SZ', '002887.SZ', '603388.SH', '002480.SZ', '600853.SH']",0.8100000000000005,0.8100000000000005,1.620000000000001,0.0019051692966339155,0.00730430471163445,0.0,0.06558432796174715,1.620000000000001,0.001620000000000001,0.0001639608199043679,0.0017839608199043688,-0.056911437838948586,1.0178790031105074,1.01186862268718,-0.07448792393154324,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-03-16,2020-03-13,2020-03-23,-0.0117214493854416,100,0.94,"['002633.SZ', '300557.SZ', '600358.SH', '000691.SZ', '000798.SZ', '600847.SH', '300509.SZ', '600719.SH', '600099.SH', '000678.SZ', '000502.SZ', '002830.SZ', '600796.SH', '603029.SH', '000430.SZ', '002857.SZ', '000721.SZ', '002209.SZ', '600178.SH', '000695.SZ', '603922.SH', '600692.SH', '002816.SZ', '300334.SZ', '600543.SH', '603725.SH', '603316.SH', '002473.SZ', '002691.SZ', '600520.SH', '600714.SH', '300056.SZ', '002671.SZ', '000663.SZ', '000638.SZ', '603015.SH', '002337.SZ', '603389.SH', '002319.SZ', '600302.SH', '603159.SH', '600249.SH', '300736.SZ', '002066.SZ', '002576.SZ', '603269.SH', '002827.SZ', '603860.SH', '600774.SH', '600137.SH', '600896.SH', '000014.SZ', '000558.SZ', '002735.SZ', '603616.SH', '600257.SH', '000428.SZ', '600962.SH', '002265.SZ', '600540.SH', '002779.SZ', '603628.SH', '002893.SZ', '600992.SH', '603021.SH', '300106.SZ', '603829.SH', '002787.SZ', '300478.SZ', '000920.SZ', '300521.SZ', '002205.SZ', '002495.SZ', '600493.SH', '600381.SH', '000692.SZ', '002342.SZ', '600365.SH', '603090.SH', '600159.SH', '600272.SH', '002178.SZ', '002374.SZ', '002278.SZ', '300084.SZ', '300105.SZ', '600538.SH', '002159.SZ', '603843.SH', '300374.SZ', '603778.SH', '300150.SZ', '002858.SZ', '600818.SH', '000679.SZ', '300153.SZ', '000929.SZ', '300281.SZ', '002686.SZ', '002693.SZ']",0.9400000000000006,0.9400000000000006,1.8800000000000012,0.0028537634875928945,0.01009184843557427,0.0,0.09367836503492864,1.8800000000000012,0.0018800000000000012,0.0002341959125873216,0.0021141959125873227,-0.013810863857648625,1.0059479858950438,0.997893842897421,-0.0872700452127344,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-03-23,2020-03-20,2020-03-30,0.0135192951072347,100,0.67,"['300509.SZ', '603159.SH', '600493.SH', '600250.SH', '300218.SZ', '603963.SH', '603909.SH', '600774.SH', '300421.SZ', '002883.SZ', '300500.SZ', '000715.SZ', '002857.SZ', '002779.SZ', '603016.SH', '600137.SH', '300651.SZ', '300293.SZ', '300535.SZ', '600099.SH', '002836.SZ', '603903.SH', '000430.SZ', '603088.SH', '603628.SH', '000798.SZ', '002553.SZ', '603101.SH', '000691.SZ', '002469.SZ', '002633.SZ', '002843.SZ', '002667.SZ', '603289.SH', '600769.SH', '002066.SZ', '002278.SZ', '000554.SZ', '300472.SZ', '603725.SH', '603988.SH', '603580.SH', '300719.SZ', '300469.SZ', '603499.SH', '002735.SZ', '603813.SH', '600847.SH', '300243.SZ', '603717.SH', '603239.SH', '603819.SH', '300640.SZ', '600379.SH', '000695.SZ', '000702.SZ', '002532.SZ', '002162.SZ', '300517.SZ', '002576.SZ', '000638.SZ', '300126.SZ', '600272.SH', '600719.SH', '600706.SH', '000570.SZ', '300716.SZ', '600365.SH', '600356.SH', '300478.SZ', '300717.SZ', '300332.SZ', '600615.SH', '603090.SH', '600671.SH', '002816.SZ', '300823.SZ', '002858.SZ', '300125.SZ', '603527.SH', '002758.SZ', '300175.SZ', '002687.SZ', '603223.SH', '300067.SZ', '000565.SZ', '002830.SZ', '600722.SH', '300201.SZ', '300106.SZ', '600543.SH', '300249.SZ', '300610.SZ', '603316.SH', '603023.SH', '603388.SH', '002753.SZ', '603320.SH', '002691.SZ', '300013.SZ']",0.6700000000000004,0.6700000000000004,1.3400000000000007,0.003172751958001726,0.010562887284961402,0.01,0.0715487697371553,1.3400000000000007,0.0013400000000000007,0.00017887192434288824,0.0015188719243428889,0.011979889105116603,1.0195476935788872,1.0098485004740108,-0.07633564157146489,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-03-30,2020-03-27,2020-04-07,0.0398755943538057,100,0.7,"['603016.SH', '002634.SZ', '002809.SZ', '603356.SH', '603038.SH', '002843.SZ', '600379.SH', '603136.SH', '300509.SZ', '603333.SH', '002868.SZ', '300717.SZ', '600493.SH', '603090.SH', '603829.SH', '603969.SH', '300651.SZ', '300640.SZ', '603909.SH', '600647.SH', '000985.SZ', '002718.SZ', '002735.SZ', '000819.SZ', '603320.SH', '603819.SH', '300610.SZ', '002810.SZ', '603681.SH', '002749.SZ', '300642.SZ', '002732.SZ', '603985.SH', '603813.SH', '300515.SZ', '603657.SH', '603239.SH', '603926.SH', '002300.SZ', '603637.SH', '603665.SH', '000790.SZ', '603977.SH', '300669.SZ', '603716.SH', '603099.SH', '002760.SZ', '603309.SH', '300584.SZ', '300622.SZ', '002691.SZ', '603757.SH', '603199.SH', '603183.SH', '002723.SZ', '002795.SZ', '600615.SH', '002360.SZ', '002779.SZ', '300690.SZ', '002857.SZ', '603801.SH', '603656.SH', '600137.SH', '002758.SZ', '002879.SZ', '600753.SH', '300720.SZ', '000788.SZ', '603988.SH', '603685.SH', '002767.SZ', '603316.SH', '002667.SZ', '603059.SH', '603838.SH', '300446.SZ', '002864.SZ', '603088.SH', '000023.SZ', '300715.SZ', '300621.SZ', '603800.SH', '002532.SZ', '603321.SH', '300321.SZ', '600262.SH', '603040.SH', '000798.SZ', '002849.SZ', '603860.SH', '000715.SZ', '000705.SZ', '002858.SZ', '002909.SZ', '603067.SH', '603311.SH', '300631.SZ', '300151.SZ', '603955.SH']",0.7000000000000004,0.7000000000000004,1.4000000000000008,0.003291240348382609,0.010169887978683914,0.0,0.07569110684733368,1.4000000000000008,0.0014000000000000009,0.00018922776711833422,0.0015892277671183351,0.03822299518490979,1.060202763832397,1.0484479348451172,-0.04103042324677819,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-04-07,2020-04-03,2020-04-13,0.0013556797007999,100,0.71,"['603043.SH', '002840.SZ', '000520.SZ', '300630.SZ', '300705.SZ', '002868.SZ', '603898.SH', '300642.SZ', '600593.SH', '002773.SZ', '603926.SH', '603507.SH', '300633.SZ', '002749.SZ', '603060.SH', '002616.SZ', '300717.SZ', '603811.SH', '002735.SZ', '300596.SZ', '603866.SH', '603218.SH', '300715.SZ', '002120.SZ', '002752.SZ', '603313.SH', '603040.SH', '603214.SH', '002900.SZ', '600419.SH', '300305.SZ', '603016.SH', '002877.SZ', '300505.SZ', '300584.SZ', '002931.SZ', '603038.SH', '000985.SZ', '000301.SZ', '002632.SZ', '002923.SZ', '603658.SH', '603665.SH', '603356.SH', '300616.SZ', '603838.SH', '603090.SH', '300151.SZ', '601020.SH', '603127.SH', '300452.SZ', '002826.SZ', '002287.SZ', '002468.SZ', '002799.SZ', '300650.SZ', '603429.SH', '300649.SZ', '603338.SH', '300651.SZ', '300631.SZ', '603833.SH', '603136.SH', '002718.SZ', '603668.SH', '603919.SH', '600753.SH', '000710.SZ', '002082.SZ', '603663.SH', '603817.SH', '002853.SZ', '600493.SH', '603336.SH', '300747.SZ', '603311.SH', '603199.SH', '603086.SH', '603416.SH', '300610.SZ', '603377.SH', '002795.SZ', '002602.SZ', '603321.SH', '002898.SZ', '600233.SH', '300753.SZ', '601500.SH', '603165.SH', '002827.SZ', '603600.SH', '002507.SZ', '300676.SZ', '603822.SH', '002493.SZ', '603633.SH', '603277.SH', '002677.SZ', '603099.SH', '600557.SH']",0.7100000000000004,0.7100000000000004,1.4200000000000008,0.003123752528331895,0.010266165219248587,0.0,0.0732260630441004,1.4200000000000008,0.001420000000000001,0.000183065157610251,0.001603065157610252,-0.00024955869970355593,1.0616400591980564,1.0481862855417905,-0.04126974244740789,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-04-13,2020-04-10,2020-04-20,0.0212982212579659,100,0.67,"['603668.SH', '000819.SZ', '000985.SZ', '603239.SH', '002295.SZ', '300138.SZ', '300584.SZ', '002900.SZ', '603822.SH', '603600.SH', '002735.SZ', '600386.SH', '603926.SH', '000520.SZ', '600097.SH', '300651.SZ', '603813.SH', '600833.SH', '002749.SZ', '603099.SH', '600531.SH', '603665.SH', '002758.SZ', '300610.SZ', '603757.SH', '600605.SH', '300522.SZ', '603016.SH', '300501.SZ', '603578.SH', '002830.SZ', '603040.SH', '600493.SH', '002532.SZ', '000510.SZ', '300717.SZ', '603838.SH', '002789.SZ', '002661.SZ', '300640.SZ', '603161.SH', '603897.SH', '603311.SH', '002942.SZ', '000759.SZ', '603657.SH', '603199.SH', '603663.SH', '300092.SZ', '603059.SH', '000632.SZ', '600857.SH', '603020.SH', '300650.SZ', '603351.SH', '603919.SH', '603818.SH', '603038.SH', '600361.SH', '603416.SH', '002932.SZ', '002795.SZ', '000751.SZ', '600135.SH', '601388.SH', '603985.SH', '603278.SH', '600858.SH', '603798.SH', '300662.SZ', '300727.SZ', '002858.SZ', '002843.SZ', '603689.SH', '601366.SH', '000753.SZ', '000905.SZ', '300473.SZ', '002165.SZ', '603090.SH', '002779.SZ', '603507.SH', '002820.SZ', '000590.SZ', '300163.SZ', '603214.SH', '600419.SH', '002891.SZ', '000705.SZ', '603192.SH', '002833.SZ', '600785.SH', '603579.SH', '002827.SZ', '603585.SH', '603928.SH', '603909.SH', '601882.SH', '002799.SZ', '600713.SH']",0.6700000000000004,0.6700000000000004,1.3400000000000007,0.0031448225447394595,0.011010894233809403,0.0,0.0695614354654476,1.3400000000000007,0.0013400000000000007,0.000173903588663619,0.0015139035886636196,0.019752074215707793,1.0842511040751768,1.068890138845699,-0.022332831247384388,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
2020-04-20,2020-04-17,2020-04-27,-0.020951073187507,100,0.89,"['300753.SZ', '300667.SZ', '603043.SH', '603180.SH', '300705.SZ', '603992.SH', '603429.SH', '603192.SH', '300689.SZ', '002877.SZ', '600135.SH', '300602.SZ', '603214.SH', '002082.SZ', '603728.SH', '603666.SH', '300642.SZ', '603081.SH', '300735.SZ', '300787.SZ', '300715.SZ', '002845.SZ', '300737.SZ', '603336.SH', '300777.SZ', '002853.SZ', '300761.SZ', '002957.SZ', '603978.SH', '002851.SZ', '300630.SZ', '688006.SH', '002960.SZ', '002171.SZ', '002632.SZ', '603313.SH', '002616.SZ', '603773.SH', '603035.SH', '603898.SH', '300464.SZ', '603600.SH', '300132.SZ', '300703.SZ', '300789.SZ', '300637.SZ', '300571.SZ', '002962.SZ', '300648.SZ', '603115.SH', '002732.SZ', '300654.SZ', '300662.SZ', '603416.SH', '603811.SH', '002369.SZ', '300691.SZ', '002946.SZ', '603305.SH', '002224.SZ', '603516.SH', '300305.SZ', '300806.SZ', '002194.SZ', '603507.SH', '002043.SZ', '300718.SZ', '300443.SZ', '300640.SZ', '002614.SZ', '600323.SH', '300701.SZ', '002942.SZ', '603158.SH', '300568.SZ', '300818.SZ', '002273.SZ', '603833.SH', '603103.SH', '603711.SH', '603208.SH', '300817.SZ', '300775.SZ', '600732.SH', '002937.SZ', '603901.SH', '603331.SH', '603863.SH', '603078.SH', '300747.SZ', '603090.SH', '300398.SZ', '600866.SH', '002335.SZ', '002955.SZ', '603218.SH', '002950.SZ', '002643.SZ', '002949.SZ', '000520.SZ']",0.8900000000000006,0.8900000000000006,1.7800000000000011,0.0029493367447019072,0.010763552995025892,0.0,0.08847551761820728,1.7800000000000011,0.0017800000000000012,0.0002211887940455182,0.0020011887940455195,-0.022910334928666454,1.0615348798400626,1.0444015077627953,-0.0447315135322679,realistic_10bp_cap1000w,double_side_build_impact,10000000,10,25,True
