date,signal_date,next_date,return,num_stocks,turnover,pre_candidate_pool_size,selected_codes
2020-02-17,2020-02-14,2020-02-24,0.08786362749477364,50,0.0,,"['300673.SZ', '300777.SZ', '300768.SZ', '603138.SH', '300775.SZ', '300766.SZ', '002891.SZ', '300691.SZ', '300561.SZ', '300609.SZ', '300687.SZ', '603103.SH', '300424.SZ', '300627.SZ', '300726.SZ', '603013.SH', '300738.SZ', '603185.SH', '300288.SZ', '300252.SZ', '300776.SZ', '300708.SZ', '603218.SH', '603496.SH', '300773.SZ', '300739.SZ', '002937.SZ', '300788.SZ', '603327.SH', '300047.SZ', '300634.SZ', '300386.SZ', '603297.SH', '002197.SZ', '002474.SZ', '603595.SH', '603676.SH', '300101.SZ', '002913.SZ', '002897.SZ', '300365.SZ', '603773.SH', '300765.SZ', '300215.SZ', '603896.SH', '002137.SZ', '300723.SZ', '002920.SZ', '002567.SZ', '603516.SH']"
2020-02-24,2020-02-21,2020-03-02,-0.0617476635022847,50,0.44,,"['300777.SZ', '300775.SZ', '300766.SZ', '002935.SZ', '300768.SZ', '300627.SZ', '603103.SH', '300424.SZ', '300691.SZ', '601606.SH', '300687.SZ', '300561.SZ', '603185.SH', '300609.SZ', '000561.SZ', '300065.SZ', '300252.SZ', '300546.SZ', '300738.SZ', '300673.SZ', '300788.SZ', '300776.SZ', '300288.SZ', '300494.SZ', '600184.SH', '300367.SZ', '002331.SZ', '002937.SZ', '002897.SZ', '300785.SZ', '300739.SZ', '000697.SZ', '603327.SH', '300035.SZ', '300047.SZ', '002929.SZ', '603121.SH', '600990.SH', '002891.SZ', '603602.SH', '603679.SH', '600855.SH', '002895.SZ', '002474.SZ', '300368.SZ', '603595.SH', '002141.SZ', '300365.SZ', '603179.SH', '300101.SZ']"
2020-03-02,2020-02-28,2020-03-09,0.0066724747873280355,50,0.8,,"['300424.SZ', '603185.SH', '600184.SH', '300609.SZ', '603618.SH', '603179.SH', '002300.SZ', '600207.SH', '002331.SZ', '600537.SH', '300673.SZ', '300047.SZ', '300368.SZ', '600765.SH', '002592.SZ', '300525.SZ', '002389.SZ', '002891.SZ', '603225.SH', '300568.SZ', '300178.SZ', '002845.SZ', '000599.SZ', '600973.SH', '603603.SH', '002741.SZ', '603612.SH', '300625.SZ', '002548.SZ', '002707.SZ', '002068.SZ', '300751.SZ', '002421.SZ', '300094.SZ', '603733.SH', '002851.SZ', '603220.SH', '002015.SZ', '002876.SZ', '300657.SZ', '600151.SH', '002782.SZ', '300770.SZ', '300422.SZ', '600686.SH', '002370.SZ', '002734.SZ', '002462.SZ', '002562.SZ', '603660.SH']"
2020-03-09,2020-03-06,2020-03-16,-0.05522070111205522,50,0.66,,"['300673.SZ', '300776.SZ', '002852.SZ', '300766.SZ', '300065.SZ', '603185.SH', '000561.SZ', '300011.SZ', '002891.SZ', '300788.SZ', '603179.SH', '300609.SZ', '300423.SZ', '603297.SH', '000576.SZ', '002090.SZ', '600207.SH', '002300.SZ', '300738.SZ', '600184.SH', '002592.SZ', '603333.SH', '002331.SZ', '601890.SH', '603618.SH', '300094.SZ', '002937.SZ', '002548.SZ', '002679.SZ', '600855.SH', '002346.SZ', '600268.SH', '000599.SZ', '600468.SH', '603823.SH', '300178.SZ', '600537.SH', '002322.SZ', '002845.SZ', '000682.SZ', '000529.SZ', '603915.SH', '603528.SH', '002951.SZ', '300365.SZ', '300662.SZ', '300435.SZ', '002661.SZ', '603181.SH', '600108.SH']"
2020-03-16,2020-03-13,2020-03-23,-0.03228148580219231,50,0.76,,"['300673.SZ', '600467.SH', '300189.SZ', '000687.SZ', '002679.SZ', '300094.SZ', '600800.SH', '300364.SZ', '002141.SZ', '000561.SZ', '300011.SZ', '600855.SH', '002121.SZ', '002331.SZ', '600990.SH', '600207.SH', '603603.SH', '000045.SZ', '000697.SZ', '600268.SH', '300176.SZ', '000599.SZ', '600227.SH', '300199.SZ', '002346.SZ', '002590.SZ', '000893.SZ', '600880.SH', '600468.SH', '002284.SZ', '002068.SZ', '600199.SH', '000615.SZ', '300219.SZ', '600283.SH', '000762.SZ', '300149.SZ', '600818.SH', '000545.SZ', '600151.SH', '600601.SH', '603777.SH', '603063.SH', '600936.SH', '601929.SH', '002646.SZ', '600888.SH', '300332.SZ', '002378.SZ', '002476.SZ']"
2020-03-23,2020-03-20,2020-03-30,0.027000365101342388,50,0.86,,"['300424.SZ', '300673.SZ', '000561.SZ', '601890.SH', '000576.SZ', '002852.SZ', '002331.SZ', '002232.SZ', '603896.SH', '002708.SZ', '002679.SZ', '300255.SZ', '002951.SZ', '002548.SZ', '300740.SZ', '002443.SZ', '002412.SZ', '300440.SZ', '002750.SZ', '002644.SZ', '300143.SZ', '600975.SH', '600818.SH', '002094.SZ', '600387.SH', '300414.SZ', '300067.SZ', '300198.SZ', '600345.SH', '002567.SZ', '002840.SZ', '300332.SZ', '300261.SZ', '600620.SH', '300174.SZ', '002769.SZ', '002476.SZ', '002634.SZ', '300125.SZ', '300201.SZ', '002542.SZ', '603318.SH', '600310.SH', '603648.SH', '000558.SZ', '000584.SZ', '603900.SH', '002564.SZ', '600279.SH', '002305.SZ']"
2020-03-30,2020-03-27,2020-04-07,0.042269046461159955,50,0.86,,"['002892.SZ', '603586.SH', '002852.SZ', '002270.SZ', '603333.SH', '002895.SZ', '300138.SZ', '002300.SZ', '002900.SZ', '300723.SZ', '300642.SZ', '300215.SZ', '300291.SZ', '300255.SZ', '600613.SH', '002322.SZ', '000788.SZ', '300662.SZ', '000529.SZ', '002443.SZ', '002412.SZ', '300440.SZ', '002699.SZ', '603823.SH', '002644.SZ', '002661.SZ', '300559.SZ', '603181.SH', '603987.SH', '002706.SZ', '600211.SH', '603277.SH', '603956.SH', '603127.SH', '300039.SZ', '600054.SH', '603108.SH', '002749.SZ', '600530.SH', '603306.SH', '603606.SH', '300067.SZ', '600965.SH', '603916.SH', '600593.SH', '002732.SZ', '300725.SZ', '002088.SZ', '600055.SH', '300233.SZ']"
2020-04-07,2020-04-03,2020-04-13,0.008430342900082339,50,0.76,,"['603711.SH', '600530.SH', '002732.SZ', '603043.SH', '002907.SZ', '603886.SH', '002937.SZ', '002900.SZ', '300583.SZ', '603896.SH', '002840.SZ', '002755.SZ', '002880.SZ', '300723.SZ', '002901.SZ', '603919.SH', '300642.SZ', '300439.SZ', '300788.SZ', '300639.SZ', '600197.SH', '300653.SZ', '002847.SZ', '002644.SZ', '002726.SZ', '300149.SZ', '000788.SZ', '002412.SZ', '300737.SZ', '603987.SH', '000848.SZ', '300381.SZ', '002043.SZ', '300633.SZ', '000045.SZ', '603127.SH', '000915.SZ', '300298.SZ', '002891.SZ', '600771.SH', '300685.SZ', '300401.SZ', '002020.SZ', '002859.SZ', '600557.SH', '300233.SZ', '300725.SZ', '300735.SZ', '603727.SH', '002022.SZ']"
2020-04-13,2020-04-10,2020-04-20,0.02639018309395689,50,0.56,,"['002937.SZ', '600530.SH', '002732.SZ', '002582.SZ', '603297.SH', '603043.SH', '002840.SZ', '603886.SH', '002907.SZ', '300583.SZ', '002900.SZ', '002880.SZ', '603919.SH', '603896.SH', '300439.SZ', '600819.SH', '600197.SH', '600613.SH', '000848.SZ', '002462.SZ', '300100.SZ', '000788.SZ', '600713.SH', '002219.SZ', '603096.SH', '002644.SZ', '002043.SZ', '300381.SZ', '300039.SZ', '002892.SZ', '600211.SH', '002891.SZ', '600090.SH', '300481.SZ', '300473.SZ', '002589.SZ', '600750.SH', '002782.SZ', '002852.SZ', '002737.SZ', '002022.SZ', '300138.SZ', '600557.SH', '603586.SH', '002801.SZ', '603788.SH', '603277.SH', '603027.SH', '603214.SH', '603728.SH']"
2020-04-20,2020-04-17,2020-04-27,-0.02465476120826184,50,0.72,,"['603103.SH', '603711.SH', '002881.SZ', '300708.SZ', '002937.SZ', '002732.SZ', '603327.SH', '603043.SH', '002907.SZ', '603297.SH', '002900.SZ', '603896.SH', '002840.SZ', '002861.SZ', '002955.SZ', '300642.SZ', '002880.SZ', '300632.SZ', '603919.SH', '300785.SZ', '300686.SZ', '603595.SH', '002901.SZ', '603773.SH', '600197.SH', '002947.SZ', '300653.SZ', '002845.SZ', '603348.SH', '300702.SZ', '002869.SZ', '002847.SZ', '300673.SZ', '300639.SZ', '300604.SZ', '603987.SH', '300381.SZ', '002876.SZ', '000045.SZ', '002043.SZ', '300737.SZ', '300657.SZ', '600326.SH', '002288.SZ', '002020.SZ', '002892.SZ', '002741.SZ', '002596.SZ', '000931.SZ', '300497.SZ']"
